manga_id,score,user,weight
21,9,xGothimisalolix,4
21,10,TheRealTHEDragon,4
21,10,imaginenarwhals,2
21,10,Jin_crotch_patch,1
21,10,Kira_Shinigami,3
21,10,thekawaiifangirl,3
21,10,TabbyCat,3
21,10,Hououin-Kyoma,3
21,10,Helsic,3
21,9,notguy,3
21,10,NanashiMoriko,3
21,10,Syliris,3
21,8,RustyPenny,1
21,9,AJ,1
21,9,Alort,1
21,8,NinjaZombie,2
21,9,Agnusogi,2
21,9,Jin_Kaze_Tsukai,2
21,9,Itachi_Uchia,2
21,10,frsdnl2,2
21,8,Cinnamonflavored,2
21,10,awsum_rose,2
21,10,Mangageek13,1
21,10,Goldenshadow177,1
21,8,thyjordo,1
21,9,figure8life,1
21,8,AWestSide,1
21,10,IchigoKitty14020,1
21,8,Raven_Knight,1
21,7,algebramania,0
21,5,minachan24,0
21,8,comiclove,0
21,10,WhimsicalWhy,0
21,8,diezmiluno,0
21,8,Neera777,0
21,9,Sofia_02,0
21,10,Frosty,0
21,9,aredessa502,0
904,10,Archaeon,239
904,10,Casual_Toast,53
904,10,IT0,15
904,10,Chinaz,5
904,5,snappytomdory,2
904,9,EthanO11,3
11734,10,veetasoy,432
11734,10,ralphy0103,271
11734,3,Detective,148
11734,3,Goukeban,83
11734,8,phs_togusa,32
11734,8,nuts4everafter,31
11734,9,Stark700,27
11734,6,UnoPuntoCinco,23
11734,10,Shikama,21
11734,5,angelsreview,19
11734,10,AmnaMJ,18
11734,10,Maz-Maz,14
11734,10,2d2la,10
11734,10,omochii123,10
11734,10,octal9,9
11734,10,H1kikomori,9
11734,8,___angel,8
11734,7,Joms,7
11734,10,xScHeiZe,7
11734,9,glazehoney12,7
11734,9,myjonpol,6
11734,10,Mih0,5
11734,10,KunoYuna,5
11734,9,nettiex,5
11734,3,PowerMetal,2
11734,9,arigatou_ne,4
11734,10,PoweredByRamen,4
11734,10,DoctorD,4
11734,10,Mannou-Sama,3
11734,10,kuchikiii,3
11734,10,Kalayo,3
11734,10,mtazkaban,3
11734,10,Hikarifour,3
11734,9,scoldrozy,3
11734,10,peachykeylime,3
11734,10,Grail_Nikephoros,3
11734,10,jmsjrdn,1
11734,9,Paraturtle,2
11734,10,Miki-Samusu,1
11734,10,BlancaXLobo,2
11734,10,BerryCandle,2
11734,10,breakingnotes,2
11734,9,dannofthursday,2
11734,9,IronBerserk,2
11734,10,onionsoup,2
11734,10,CresantMark,2
11734,3,TravisBickle,1
11734,10,SitDownMoody,1
11734,9,STEREOo,1
11734,9,neko1995,1
11734,10,Asilow,1
11734,10,Chubbymajo,1
11734,10,animeXlove,1
11734,7,MangaGreat,1
11734,9,TuesdaysDusk,0
11734,9,Hadeyan,0
11734,10,redrabbt13,0
11734,8,TheJaceX,0
11734,10,ashraf_khan,0
11734,6,dimlion7,0
11734,10,Melodie321,0
11734,10,alexcakealex,0
